"MIP","STDIP","EKIP","SIP","MC","STDC","EKC","SC","TARGET"
"93.7734375","41.88306169",".371402345","1.291231795","1.482441472","12.95905022","12.24291123","180.1588442","0"
"73.6328125","35.46121805","1.153606583","4.161082483","2.099498328","13.05747392","10.01359091","140.8941513","0"
"93.4296875","39.88316601",".602060336","1.518547854","2.475752508","14.1465779","8.770640369","107.9701728","0"
"76.5234375","34.08719629","2.024270196","8.131774734","7.983277592","36.657363","4.888889599","23.67535368","1"
"67.6640625","32.56178678","2.027999741","8.098344202","8.266722408","34.83890201","4.793381771","24.03204757","1"
"94.3359375","43.19419763",".515280093",".862443635","4.530100334","23.18754272","6.375536709","45.40109451","0"
"97.234375","46.53635749",".558616451",".384429415","2.010033445","13.63437642","10.02234589","132.1256231","0"
"96.203125","45.11172924",".773959568","1.435801239","2.346153846","14.86726928","9.468970583","112.1365151","0"
"42.578125","46.63833746","2.841558376","7.832819342","12.97157191","38.49884932","3.799727502","14.99083404","1"
"60.6328125","47.56473731","2.401280557","5.858265485","93.58695652","89.54225828",".383887223","-1.31902556","1"
"65.2265625","35.69690437","2.291890704","10.11847881","15.51505017","48.87242564","3.185366727","9.164035552","1"
"72.3203125","37.21935266",".885005976","3.060119543","2.487458194","15.3319134","8.515076781","92.9009492","0"
"41.2109375","31.94664799","3.887521273","19.89781024","88.33361204","78.91144803",".588461918","-.807271674","1"
"89.9140625","39.33887775",".557590962","1.523933611","1.327759197","15.19289347","13.04817297","183.0110824","0"
"98.3671875","50.30591899",".409147253",".073141345",".842809365","11.2356355","16.35994665","301.2815193","0"
"79.8125","38.17143688",".771429533","2.235645796","5.31270903","27.87623517","5.623427742","32.60633712","0"
"78.2890625","36.39586007",".832017508","3.126514262","1.403846154","11.30542617","13.6333761","246.7427472","0"
"69.2109375","45.26616637","2.024290832","4.485091033","2.546822742","18.20122515","9.997592919","109.1223064","1"
"95.7734375","40.32857525",".269330967",".947745352","1.489966555","15.88437737","11.43541171","137.1097375","0"
"86.2734375","38.8250714",".79835976","1.919903754","3.158026756","18.74336299","7.375990228","64.21722463","0"
"89.1484375","57.35322161","1.344685463","1.19488873","20.88712375","57.08814813","2.596657076","5.315686965","0"
"14.90625","29.39053778","7.210660828","53.02646526","124.2617057","75.63747526","-.119869958","-.972970887","1"
"40.7890625","30.65678258","5.113481058","32.75232488","55.21237458","78.39269585","1.161472115",".003675747","1"
"11.9765625","29.57761634","7.550921894","56.53774698","128.0200669","73.431466","-.124471665","-.899232451","1"
"99.8359375","39.32432798",".585856718","1.208628068","2.169732441","15.91723326","9.750990636","112.6339385","1"
"72.46875","34.18788562",".863578375","5.009373781","3.546822742","21.86321834","7.15143955","55.45981706","0"
"81.8203125","35.39209693","1.015847131","3.733023787","2.549331104","21.18243912","8.808880917","79.95013023","0"
"19.9609375","34.09646296","5.504910883","31.0998767","125.264214","82.36350068","-.141533847","-1.150789277","1"
"98.46875","38.37763377",".444189992","1.620170107","2.318561873","15.33493476","10.59863698","141.6794575","0"
"37.6640625","39.51290876","3.495256736","13.13504707","7.785117057","27.56202757","5.014885742","29.18375371","1"
"93.5078125","36.70639337",".657896372","2.33124416","3.571070234","23.76914752","7.232109468","54.29956407","0"
"96.484375","45.56125416",".396412872",".283296343","7.816053512","32.08623325","4.410365663","19.79754693","0"
"11.21875","30.97351124","5.992364991","37.86874123","97.44565217","76.52752946",".191543281","-1.020215434","1"
"92.5703125","36.13531072",".527988678","2.10538453","5.688963211","26.66430565","5.224111855","29.32918926","0"
"97.171875","45.65617246",".721308334",".482644292","1.557692308","12.59077472","11.43467599","169.9231026","0"
